Date,Close,Open,High,Low,Volume,Change,range,target,ror,buy_signal,hpr,dd,money
2021-01-01,32312000,32023000,32414000,32023000,1360.0,0.0089,195500.0,,1.0,,1.0,0.0,1000000.0
2021-01-02,35705000,32314000,36184000,32314000,6980.0,0.105,1935000.0,32509500.0,1.095094344730002,31344580.0,1.095094344730002,0.0,1095094.3447300019
2021-01-03,37586000,35705000,37586000,35705000,5430.0,0.0527,940500.0,37640000.0,1.0,,1.095094344730002,0.0,1095094.3447300019
2021-01-04,36499000,37553000,38113000,36499000,2920.0,-0.028900000000000002,807000.0,38493500.0,1.0,,1.095094344730002,0.0,1095094.3447300019
2021-01-05,37962000,36475000,37962000,35190000,4170.0,0.0401,1386000.0,37282000.0,1.015039364840942,34134300.0,1.1115638681156486,0.0,1111563.8681156486
2021-01-06,40731000,37989000,40731000,37989000,4250.0,0.0729,1371000.0,39375000.0,1.031238095238095,36849330.0,1.1462870060910706,0.0,1146287.0060910706
2021-01-07,44575000,40760000,44575000,40760000,5590.0,0.0944,1907500.0,42131000.0,1.0548095416676555,39537200.0,1.2091144715145112,0.0,1209114.4715145112
2021-01-08,47241000,44592000,47241000,44592000,3880.0,0.059800000000000006,1324500.0,46499500.0,1.0127464080258926,43254240.0,1.2245263379184466,0.0,1224526.3379184466
2021-01-09,45614000,47231000,47231000,45614000,2450.0,-0.0344,808500.0,48555500.0,1.0,,1.2245263379184466,0.0,1224526.3379184466
2021-01-10,43447000,45603000,46620000,43447000,6300.0,-0.0475,1586500.0,46411500.0,0.9329257446968963,42143590.0,1.14239214570353,6.707425530310375,1142392.14570353
2021-01-11,40340000,43406000,43406000,35135000,9550.0,-0.07150000000000001,4135500.0,44992500.0,1.0,,1.14239214570353,6.707425530310375,1142392.14570353
2021-01-12,38541000,40362000,40362000,38541000,2870.0,-0.0446,910500.0,44497500.0,1.0,,1.14239214570353,6.707425530310375,1142392.14570353
2021-01-13,41403000,38541000,41403000,37330000,4080.0,0.07429999999999999,2036500.0,39451500.0,1.046265799779476,36210100.0,1.1952458319862955,2.391169958983856,1195245.8319862955
2021-01-14,42762000,41393000,42762000,41393000,3670.0,0.032799999999999996,684500.0,43429500.0,1.0,,1.1952458319862955,2.391169958983856,1195245.8319862955
2021-01-15,41045000,42742000,42742000,41045000,4010.0,-0.04019999999999999,848500.0,43426500.0,1.0,,1.1952458319862955,2.391169958983856,1195245.8319862955
2021-01-16,40083000,41011000,41011000,40083000,1540.0,-0.023399999999999997,464000.0,41859500.0,1.0,,1.1952458319862955,2.391169958983856,1195245.8319862955
2021-01-17,39552000,40065000,40065000,39552000,1390.0,-0.0132,256500.0,40529000.0,1.0,,1.1952458319862955,2.391169958983856,1195245.8319862955
2021-01-18,39994000,39562000,39994000,39109000,1160.0,0.011200000000000002,442500.0,39818500.0,1.0012074990268343,37935730.0,1.1966890901652467,2.273307391698896,1196689.0901652467
2021-01-19,39465000,39994000,40237000,39465000,1900.0,-0.0132,386000.0,40436500.0,1.0,,1.1966890901652467,2.273307391698896,1196689.0901652467
